t,A_T0,A_T1,A_T2,B_T0,B_T1,B_T2,C_T0,C_T1,C_T2,A_u0,A_u1,A_u2,B_u0,B_u1,B_u2,C_u0,C_u1,C_u2
374,35.64003675176968,35.5066983844672,35.373382569536325,35.37386305173393,35.5066983844684,35.63955626957088,8.147188795688061,8.147188681407904,8.14718856712775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,35.4556476599256,35.32960910947008,35.20358963292205,35.20404381441563,35.329609109471086,35.45519347843102,8.106554516362912,8.106554408338239,8.106554300313569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,35.27254138295667,35.153402897861,35.034280544724915,35.03470986516619,35.153402897861845,35.272112062514545,8.066122901662602,8.066122799551,8.066122697439399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,35.09069163491108,34.97807537203495,34.86547275293475,34.86587857317161,34.97807537203567,35.090285814673514,8.025892940776062,8.025892844253859,8.025892747731659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,34.9100733508927,34.80362217210337,34.69718253268225,34.697566139072265,34.80362217210398,34.90968974450208,7.985863627934597,7.985863536695841,7.985863445457086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,34.73066262110413,34.63003895644075,34.52942505132044,34.52978765980838,34.63003895644126,34.73030001261568,7.946033962386687,7.946033876142171,7.946033789897656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,34.55243662852733,34.45732140213064,34.36221442997101,34.36255718994307,34.45732140213107,34.55209386855484,7.906402948372912,7.906402866849261,7.906402785325611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,34.375373590037725,34.285465205326524,34.19556380172387,34.19588779965098,34.28546520532689,34.37504959211026,7.866969595101011,7.866969518039814,7.866969440978617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,34.19945270075951,34.1144660815409,34.029485366668894,34.02979162955059,34.11446608154121,34.199146437877516,7.827732916721066,7.8277328438780565,7.827732771035047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,34.024654081481245,33.94431976587361,33.86399044392974,33.86427994254949,33.94431976587387,34.024364582861246,7.788691932300809,7.788691863445091,7.788691794589372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,33.850958728961224,33.77502201318896,33.69908952086079,33.6993631728632,33.77502201318918,33.850685076958605,7.749845665801057,7.749845600714372,7.749845535627688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,33.678348468961765,33.606568598249545,33.53479229955997,33.53505097235947,33.60656859824973,33.67808979616209,7.7111931460512695,7.71119308452731,7.71119302300335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,33.50680591186105,33.43895531581359,33.371107740842156,33.371352254372525,33.438955315813736,33.50656139833054,7.6727334067252375,7.672733348568986,7.672733290412733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,33.336314410699494,33.27217798070142,33.208044105810444,33.20827523512379,33.27217798070155,33.33608328138602,7.634465486316884,7.634465431343998,7.63446537637111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,33.1668580215259,33.10623242783607,33.04560899515517,33.045827472878706,33.106232427836176,33.16663954380225,7.596388428116195,7.596388376152422,7.5963883241886485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,32.998421465916195,32.94111451226188,32.883809386303795,32.884015904962084,32.941114512261976,32.998214947257814,7.5585012801852685,7.558501231065896,7.558501181946522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,32.83099009554477,32.77682010914477,32.722651668538234,32.722846882748314,32.77682010914485,32.83079488133461,7.520803095334488,7.520803048903819,7.520803002473149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,32.66454985869512,32.61334511375689,32.56214167618988,32.56232620473628,32.613345113756964,32.664365330148655,7.483292931098814,7.4832928872096725,7.483292843320531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,32.49908726860284,32.45068544144833,32.402284720016894,32.40245914781301,32.45068544144839,32.49891284080667,7.445969849714193,7.445969808227462,7.445969766740731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,32.33458937353013,32.28883702760779,32.24308561686249,32.243250496804656,32.28883702760785,32.33442449358791,7.408832918094093,7.408832878878268,7.408832839662444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
