t,E_field,E_source_remaining,E_injected_cum,E_leaked_cum,conservation_residual
303,342.53270440943646,0.0,393.46399021749124,50.93128580805485,7.105427357601002e-14
304,342.228723531624,0.0,393.46399021749124,51.23526668586733,7.105427357601002e-14
305,341.925012421845,0.0,393.46399021749124,51.53897779564631,6.394884621840902e-14
306,341.6215708406937,0.0,393.46399021749124,51.84241937679762,9.947598300641403e-14
307,341.3183985489767,0.0,393.46399021749124,52.14559166851461,5.684341886080802e-14
308,341.0154953077129,0.0,393.46399021749124,52.44849490977838,4.973799150320701e-14
309,340.71286087813337,0.0,393.46399021749124,52.751129339357945,7.105427357601002e-14
310,340.4104950216809,0.0,393.46399021749124,53.053495195810385,4.263256414560601e-14
311,340.1083975000102,0.0,393.46399021749124,53.35559271748113,8.526512829121202e-14
312,339.80656807498724,0.0,393.46399021749124,53.65742214250406,5.684341886080802e-14
313,339.50500650868963,0.0,393.46399021749124,53.95898370880169,7.815970093361102e-14
314,339.2037125634058,0.0,393.46399021749124,54.260277654085485,5.684341886080802e-14
315,338.90268600163546,0.0,393.46399021749124,54.561304215855834,4.973799150320701e-14
316,338.6019265860889,0.0,393.46399021749124,54.862063631402435,8.526512829121202e-14
317,338.3014340796869,0.0,393.46399021749124,55.16255613780441,4.973799150320701e-14
318,338.00120824556086,0.0,393.46399021749124,55.462781971930426,4.263256414560601e-14
319,337.70124884705234,0.0,393.46399021749124,55.76274137043897,6.394884621840902e-14
320,337.4015556477128,0.0,393.46399021749124,56.06243456977851,9.237055564881302e-14
321,337.1021284113036,0.0,393.46399021749124,56.36186180618771,9.237055564881302e-14
322,336.8029669017958,0.0,393.46399021749124,56.66102331569553,8.526512829121202e-14
323,336.5040708833698,0.0,393.46399021749124,56.959919334121494,7.105427357601002e-14
324,336.2054401204155,0.0,393.46399021749124,57.2585500970758,7.105427357601002e-14
325,335.9070743775317,0.0,393.46399021749124,57.55691583995962,1.0658141036401503e-13
326,335.6089734195261,0.0,393.46399021749124,57.855016797965234,7.105427357601002e-14
327,335.3111370114152,0.0,393.46399021749124,58.152853206076095,6.394884621840902e-14
328,335.0135649184241,0.0,393.46399021749124,58.45042529906723,7.815970093361102e-14
329,334.7162569059861,0.0,393.46399021749124,58.74773331150524,8.526512829121202e-14
330,334.4192127397427,0.0,393.46399021749124,59.044777477748596,5.684341886080802e-14
331,334.1224321855435,0.0,393.46399021749124,59.34155803194779,6.394884621840902e-14
332,333.8259150094458,0.0,393.46399021749124,59.63807520804549,4.263256414560601e-14
333,333.52966097771446,0.0,393.46399021749124,59.9343292397768,1.4210854715202004e-14
334,333.23366985682196,0.0,393.46399021749124,60.23032036066934,5.684341886080802e-14
335,332.9379414134478,0.0,393.46399021749124,60.52604880404351,5.684341886080802e-14
336,332.64247541447867,0.0,393.46399021749124,60.82151480301266,8.526512829121202e-14
337,332.34727162700807,0.0,393.46399021749124,61.11671859048323,5.684341886080802e-14
338,332.0523298183363,0.0,393.46399021749124,61.41166039915501,8.526512829121202e-14
339,331.75764975597,0.0,393.46399021749124,61.706340461521265,4.263256414560601e-14
340,331.4632312076224,0.0,393.46399021749124,62.0007590098689,7.105427357601002e-14
341,331.16907394121256,0.0,393.46399021749124,62.294916276278755,7.105427357601002e-14
342,330.8751777248657,0.0,393.46399021749124,62.58881249262562,7.105427357601002e-14
343,330.5815423269127,0.0,393.46399021749124,62.882447890578575,4.263256414560601e-14
344,330.2881675158902,0.0,393.46399021749124,63.17582270160106,3.552713678800501e-14
345,329.9950530605402,0.0,393.46399021749124,63.4689371569511,7.105427357601002e-14
346,329.70219872980977,0.0,393.46399021749124,63.76179148768155,7.105427357601002e-14
347,329.40960429285116,0.0,393.46399021749124,64.05438592464017,8.526512829121202e-14
348,329.1172695190215,0.0,393.46399021749124,64.34672069846985,8.526512829121202e-14
349,328.8251941778825,0.0,393.46399021749124,64.63879603960882,8.526512829121202e-14
350,328.53337803920056,0.0,393.46399021749124,64.93061217829077,8.526512829121202e-14
351,328.2418208729462,0.0,393.46399021749124,65.22216934454508,5.684341886080802e-14
352,327.9505224492943,0.0,393.46399021749124,65.51346776819707,1.1368683772161603e-13
