path,owner_class,value,category
s1.adx.bundle.config.coupler_blayer_c_slow,BundleConfig,0.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.coupler_blayer_r_slow,BundleConfig,10.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.coupler_blayer_gm,BundleConfig,0.01,DYNAMIC_CAUSAL
s1.adx.bundle.config.coupler_blayer_k,BundleConfig,2.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.silent_snapshot,BundleConfig,{0},DYNAMIC_CAUSAL
s1.adx.bundle.config.silence_threshold,BundleConfig,0.005,DYNAMIC_CAUSAL
s1.adx.bundle.config.reactivation_threshold,BundleConfig,0.8,DYNAMIC_CAUSAL
s1.adx.bundle.config._sw_xin_prev,BundleConfig,0.0,DYNAMIC_CAUSAL
s1.adx.bundle.config._sw_dxi_sign,BundleConfig,1,DYNAMIC_CAUSAL
s1.adx.bundle.config._sw_zero_crossings,BundleConfig,0,DYNAMIC_CAUSAL
s1.adx.bundle.config._sw_step_count,BundleConfig,0,DYNAMIC_CAUSAL
s1.adx.bundle.config.standing_wave_score,BundleConfig,0.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.eligibility_tau,BundleConfig,300.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.eligibility_gain,BundleConfig,1.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.eligibility_ltd_rate,BundleConfig,0.01,DYNAMIC_CAUSAL
s1.adx.bundle.config.da_ema_tau,BundleConfig,5000.0,DYNAMIC_CAUSAL
s1.adx.bundle.config.lambda_metabolic,BundleConfig,1e-06,DYNAMIC_CAUSAL
s1.adx.bundle._memristors[0][0].w,Memristor,0.3,DYNAMIC_CAUSAL
s1.adx.bundle._memristors[0][0].r_min,Memristor,0.1,DYNAMIC_CAUSAL
s1.adx.bundle._memristors[0][0].r_max,Memristor,10.0,DYNAMIC_CAUSAL
s1.adx.bundle._memristors[0][0]._cum_ltp,Memristor,0.0,AUDIT_COUNTER
s1.adx.bundle._memristors[0][0]._cum_ltd,Memristor,0.0,AUDIT_COUNTER
s1.adx.bundle._memristors[0][0]._cum_clamp,Memristor,0.0,AUDIT_COUNTER
s1.adx.bundle._memristors[0][0]._w_initial,Memristor,0.3,AUDIT_COUNTER
s1.adx.bundle.transport_cost,SynapticBundle,0.0,DYNAMIC_CAUSAL
s1.adx.bundle._couplers,SynapticBundle,[0],DYNAMIC_CAUSAL
s1.adx.bundle._delay_buffer,SynapticBundle,[0],DYNAMIC_CAUSAL
s1.adx.bundle._prev_source_acts[0],SynapticBundle,0.0,DYNAMIC_CAUSAL
s1.adx.bundle._xin_consumed,SynapticBundle,0.0,DYNAMIC_CAUSAL
s1.ady.generator_address.parent_addresses[1].parent_addresses[0].version,StructuralAddress,0,DYNAMIC_CAUSAL
s1.ady.generator_address.parent_addresses[1].generation_depth,GeneratedAddress,1,DYNAMIC_CAUSAL
s1.ady.generator_address.parent_addresses[1].version,GeneratedAddress,0,DYNAMIC_CAUSAL
s1.ady.generator_address.generation_depth,GeneratedAddress,2,DYNAMIC_CAUSAL
s1.ady.generator_address.version,GeneratedAddress,0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.region,NeuronConfig,0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.capacitance,NeuronConfig,0.001,STATIC_PARAMETER
s1.ady.input_neuron.config.r_leak,NeuronConfig,1.0,STATIC_PARAMETER
s1.ady.input_neuron.config.v_rest,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.inertia,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.vdd,NeuronConfig,2.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.r_supply,NeuronConfig,0.01,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.channels,NeuronConfig,[0],DYNAMIC_CAUSAL
s1.ady.input_neuron.config.leak_conductance,NeuronConfig,0.01,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.leak_reversal,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.ady.input_neuron.config.ca_capacitance,NeuronConfig,0.0,DYNAMIC_CAUSAL
